               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/wAP_0.5,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052958,            0.012569,            0.015589,             0.86755,             0.44341,             0.38321,             0.49848,             0.21299,            0.045152,              0.0153,            0.012813,           0.0010613,           0.0010613,            0.067896
                   1,            0.049596,            0.010744,            0.012397,             0.86393,              0.4473,             0.37039,             0.48345,             0.21353,            0.044716,            0.014586,            0.012434,           0.0021275,           0.0021275,            0.035629
                   2,            0.045208,           0.0096272,           0.0088291,             0.88328,             0.41029,             0.36696,             0.48135,             0.18407,            0.045751,            0.014674,             0.01323,           0.0031921,           0.0031921,           0.0033604
                   3,            0.042266,           0.0090475,           0.0069576,             0.82884,             0.43259,             0.34178,             0.46253,             0.17486,            0.046922,            0.015396,            0.012862,           0.0031943,           0.0031943,           0.0031943
                   4,            0.040331,           0.0088441,           0.0079141,              0.8196,             0.40017,             0.31801,             0.43163,             0.16195,            0.049711,            0.015194,            0.013156,           0.0031943,           0.0031943,           0.0031943
                   5,            0.040477,           0.0089087,           0.0092621,             0.76777,             0.44852,              0.3265,             0.43349,             0.15066,            0.049074,            0.015401,            0.018879,           0.0031899,           0.0031899,           0.0031899
                   6,            0.041095,           0.0088159,           0.0089352,             0.79873,              0.4217,             0.31793,              0.4305,             0.16202,            0.048634,            0.015824,            0.013908,           0.0031842,           0.0031842,           0.0031842
                   7,            0.038959,            0.008682,            0.006877,             0.77413,             0.45237,             0.34467,             0.44732,             0.16086,            0.049233,            0.015856,            0.014067,           0.0031773,           0.0031773,           0.0031773
                   8,            0.037194,           0.0082137,           0.0067475,             0.85464,             0.40892,              0.3274,             0.44389,              0.1689,            0.049127,             0.01572,            0.011521,           0.0031692,           0.0031692,           0.0031692
                   9,            0.036898,           0.0078896,           0.0062858,             0.83845,             0.41689,             0.33828,             0.45761,             0.17773,            0.048802,            0.015375,            0.011711,           0.0031598,           0.0031598,           0.0031598
                  10,            0.034814,           0.0076422,           0.0058188,             0.38689,             0.55197,             0.35604,             0.46869,             0.15926,            0.050595,            0.016681,            0.014086,           0.0031492,           0.0031492,           0.0031492
                  11,             0.03808,           0.0074736,           0.0055764,             0.81843,             0.44463,             0.36259,             0.47705,             0.16928,             0.05028,            0.015862,            0.010513,           0.0031374,           0.0031374,           0.0031374
                  12,            0.034828,           0.0074658,           0.0055389,             0.78217,             0.42668,             0.33544,             0.44782,             0.15191,            0.050634,            0.015905,            0.013117,           0.0031243,           0.0031243,           0.0031243
                  13,            0.033795,            0.007062,            0.005174,             0.41807,             0.55404,             0.34866,             0.44993,             0.15394,            0.051492,            0.016332,            0.011653,           0.0031101,           0.0031101,           0.0031101
                  14,            0.033801,           0.0067007,           0.0045857,             0.46166,             0.51013,             0.35715,              0.4699,             0.16274,            0.050086,            0.017357,            0.011006,           0.0030947,           0.0030947,           0.0030947
                  15,            0.030431,           0.0065084,            0.004093,             0.45664,              0.5794,              0.3778,              0.4921,             0.17952,            0.050981,            0.016135,            0.010886,           0.0030782,           0.0030782,           0.0030782
                  16,            0.031493,           0.0062089,           0.0037857,             0.40696,             0.52759,             0.32792,             0.44627,             0.16495,            0.050578,            0.016502,            0.011163,           0.0030605,           0.0030605,           0.0030605
                  17,            0.028396,           0.0061031,           0.0033841,             0.48314,             0.49462,             0.34805,             0.46406,             0.16577,            0.051864,            0.017204,            0.010643,           0.0030417,           0.0030417,           0.0030417
                  18,            0.028468,            0.006043,           0.0030184,             0.52274,             0.49855,             0.35723,             0.47127,             0.16723,            0.050947,            0.017605,            0.011188,           0.0030217,           0.0030217,           0.0030217
                  19,            0.029598,           0.0060399,           0.0030373,             0.45927,             0.56373,             0.36585,             0.47649,             0.18435,            0.050212,            0.016515,            0.011818,           0.0030007,           0.0030007,           0.0030007
                  20,            0.027847,            0.005895,           0.0031725,              0.5248,             0.51265,             0.41371,             0.52147,             0.20292,            0.050814,            0.016835,            0.010649,           0.0029787,           0.0029787,           0.0029787
                  21,            0.028993,           0.0059391,           0.0028336,              0.5915,             0.48194,             0.37733,             0.48593,             0.17237,            0.052602,            0.018807,            0.011494,           0.0029555,           0.0029555,           0.0029555
                  22,            0.029356,           0.0059157,           0.0024891,              0.6635,             0.48071,             0.36032,             0.47585,             0.18051,             0.05088,            0.018456,            0.011456,           0.0029314,           0.0029314,           0.0029314
                  23,             0.02797,           0.0056253,           0.0024599,             0.60424,             0.48027,             0.37346,             0.48374,             0.17318,            0.051812,            0.017109,            0.011102,           0.0029063,           0.0029063,           0.0029063
                  24,             0.03024,           0.0059422,           0.0027212,             0.53879,             0.41296,             0.35867,             0.47266,             0.16068,            0.052979,            0.016635,            0.011912,           0.0028801,           0.0028801,           0.0028801
                  25,             0.03042,           0.0060604,            0.002151,             0.50195,               0.488,             0.35527,             0.47275,             0.17719,            0.050431,            0.017641,            0.011876,           0.0028531,           0.0028531,           0.0028531
                  26,            0.025614,           0.0055809,           0.0020258,             0.47157,             0.52764,             0.36719,             0.48584,             0.18345,            0.049597,            0.017251,            0.012562,           0.0028251,           0.0028251,           0.0028251
                  27,            0.025979,           0.0055064,            0.002074,             0.65079,             0.46067,             0.36405,             0.47415,             0.18491,            0.049171,            0.017238,            0.011545,           0.0027962,           0.0027962,           0.0027962
                  28,            0.024163,           0.0051952,           0.0018213,             0.60261,             0.46998,             0.36606,             0.47793,             0.18374,            0.049238,            0.017498,            0.010802,           0.0027665,           0.0027665,           0.0027665
                  29,            0.026385,           0.0052274,           0.0018491,             0.61225,             0.45545,             0.35469,              0.4705,             0.17857,            0.050154,            0.018556,            0.011527,           0.0027359,           0.0027359,           0.0027359
                  30,            0.025579,             0.00496,           0.0020004,             0.63074,             0.53014,              0.4027,             0.51006,             0.19285,            0.050062,            0.018672,            0.011424,           0.0027045,           0.0027045,           0.0027045
                  31,            0.022214,           0.0048296,           0.0018883,             0.59361,             0.57043,             0.41577,             0.52227,             0.19412,            0.049358,            0.018652,            0.010783,           0.0026724,           0.0026724,           0.0026724
                  32,            0.025004,           0.0048267,           0.0016265,             0.47353,             0.54735,             0.36549,             0.48413,             0.19114,            0.049409,            0.019144,            0.010826,           0.0026395,           0.0026395,           0.0026395
                  33,            0.023076,           0.0047283,           0.0016676,             0.68818,             0.46815,             0.39108,             0.50582,             0.20543,            0.049462,            0.018341,            0.011368,           0.0026059,           0.0026059,           0.0026059
